Id;Dato;Start;Slutt dato;Slutt;Plasser;Undform;Partinr;Aktivitet;Emne;Fagperson;Email;Tittel;Stedkode;Sted;Rom;Fag;Studentgr;Terminnr;
24V-SGO2302-1-1-1-1;13.03.2024;14:15;13.03.2024;16:00;120;FOR;;Lecture: ;SGO2302;O'Brien, Karen;;Professor;185170700;SV-ISS;BL09104 Ragnar Frischs auditorium 1;;1642, 5034, 5806;1;
24V-SOS1100-1-1-2-2-501;13.03.2024;14:15;13.03.2024;16:00;18;SEM;2;Seminar 2;SOS1100;Kjos, Hannah Løke;;Stipendiat;185170700;SV-ISS;BL11124 Seminarrom 124;;622, 971, 2116, 2229, 4622, 5800, 5869, 6130;1;
24V-SOS1100-1-1-2-5-501;14.03.2024;08:15;14.03.2024;10:00;18;SEM;5;Seminar 5;SOS1100;Kjos, Hannah Løke;;Stipendiat;185170700;SV-ISS;BL20233 Seminarrom 233;;622, 971, 2116, 2229, 4622, 5800, 5869, 6130;1;
24V-HGO4941-1-1-1-1;14.03.2024;09:15;14.03.2024;12:00;25;FOR;;Forelesninger: Lecture;HGO4941;Tollefsen, Andreas Forø;;Førsteamanuensis;185170700;SV-ISS;BL10351 PC-stue 351;;4594;1;
24V-SOS4001-1-1-1-1;14.03.2024;10:15;14.03.2024;12:00;60;FOR;;Forelesninger;SOS4001;Andersen, Bjørn Schiermer;;Professor;185170700;SV-ISS;BL09113 Auditorium 4;;4624;1;
24V-SOS2901-1-1-1-1;14.03.2024;10:15;14.03.2024;12:00;38;FOR;;Forelesninger;SOS2901;Skardhamar, Torbjørn;;Professor;185170700;SV-ISS;BL09130 Auditorium 6;;622, 971, 2229, 4622, 5869;1;
24V-SOS2950-1-1-1-501;14.03.2024;10:15;14.03.2024;12:00;30;FOR;;Forelesninger;SOS2950;Isungset, Martin Arstad;;Postdoktor;185170700;SV-ISS;BL09116 Auditorium 5;;971, 2229, 4622;1;
24V-SOS4001-1-1-1-1;14.03.2024;10:15;14.03.2024;12:00;60;FOR;;Forelesninger;SOS4001;Birkelund, Gunn Elisabeth;;Professor;185900100;UiO - udefinert;BL09113 Auditorium 4;;4624;1;
24V-SGO3090-1-1-2-1-1;14.03.2024;10:15;14.03.2024;12:00;12;SEM;1;Bygeografi;SGO3090;Star, Marieke Elisabeth van der;;Stipendiat;185170700;SV-ISS;BL273526 Grupperom 6;;;1;
24V-SOS4200-1-1-1-501;14.03.2024;12:15;14.03.2024;14:00;65;FOR;;Forelesninger;SOS4200;Byrkjeflot, Haldor;;Professor;185170700;SV-ISS;BL09113 Auditorium 4;;4624, 6139, 6140, 6141, 6142, 6564;1;
24V-HGO4010-1-1-2-1;14.03.2024;12:15;14.03.2024;15:00;30;SEMFOR;;Lecture;HGO4010;Houeland, Camilla;;Førsteamanuensis;185170700;SV-ISS;BL09116 Auditorium 5;;4594, 5407;1;
24V-SOS1100-1-1-2-7-501;14.03.2024;14:15;14.03.2024;16:00;18;SEM;7;Seminar 7;SOS1100;Kjos, Hannah Løke;;Stipendiat;185170700;SV-ISS;BL20U30 Seminarrom U30;;622, 971, 2116, 2229, 4622, 5800, 5869, 6130;1;
24V-SGO2302-1-1-2-5-1;15.03.2024;10:15;15.03.2024;12:00;22;SEM;5;Group 5: Seminar group 5;SGO2302;Berg, Siri Adele Langaas;;;185170700;SV-ISS;BL11120 Seminarrom 120;;;1;
24V-SGO2100-1-1-2-1-1;15.03.2024;10:15;15.03.2024;12:00;22;SEM;1;Seminargruppe 1: ;SGO2100;Star, Marieke Elisabeth van der;;Stipendiat;185170700;SV-ISS;BL11124 Seminarrom 124;;;1;
24V-KULKOM3090-1-1-3-2-1;15.03.2024;10:15;15.03.2024;12:00;12;SEM;2;Seminargruppe 2;KULKOM3090;Moen-Larsen, Natalia;;Førstelektor;185170700;SV-ISS;BL273528 Grupperom 8;;622, 1573, 2133, 2135, 5869, 6412;1;
24V-SGO2100-1-1-2-2-1;15.03.2024;10:15;15.03.2024;12:00;22;SEM;2;Seminargruppe 2: ;SGO2100;Schnell, Alf Jørgen;;Stipendiat;185170700;SV-ISS;BL11114 Seminarrom 114;;;1;
24V-KULKOM3090-1-1-3-4-501;15.03.2024;12:15;15.03.2024;14:00;12;SEM;4;Seminargruppe 4;KULKOM3090;Moen-Larsen, Natalia;;Førstelektor;185170700;SV-ISS;BL273528 Grupperom 8;;622, 1573, 2133, 2135, 5869, 6412;1;
24V-KULKOM3090-1-1-3-1-1;15.03.2024;14:15;15.03.2024;16:00;12;SEM;1;Seminargruppe 1;KULKOM3090;Storm-Mathisen, Frøja Isabella;;Stipendiat;185170700;SV-ISS;BL273528 Grupperom 8;;622, 1573, 2133, 2135, 5869, 6412;1;
